Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
14,12,23,1,2,11.95599999999999,20,54,23,56,59,49,24.03399999999998,0.7929999999999997,0.061,2.1959999999999984,20,2,1,11,98,2,1,16,4,0.5,30,4.5,6,L,0.24524489795918364,0.39649999999999985,0.061,0.13724999999999998
14,12,24,1,11,33.366999999999976,20,141,63,69,67,62,37.08799999999997,1.2809999999999993,0.7319999999999998,3.598999999999997,20,5,3,11,157,6,3,16,4,1,48,4,6,L,0.23622929936305728,0.2135,0.244,0.22493749999999998
14,13,25,1,2,17.445999999999987,19,86,59,28,58,102,17.506999999999987,4.635999999999997,7.502999999999994,1.1589999999999994,20,11,15,6,87,15,29,7,4,0,15,3.75,6,L,0.20122988505747125,0.3090666666666666,0.2587241379310345,0.16557142857142856
14,13,26,1,15,45.871999999999964,18,211,19,20,92,85,45.932999999999964,9.088999999999993,2.1349999999999985,4.635999999999997,19,14,7,11,212,38,8,20,6,0,18,4.5,6,L,0.2166650943396226,0.23918421052631578,0.266875,0.23179999999999995
14,14,27,1,3,19.031999999999986,19,106,31,27,28,92,20.068999999999985,0.427,1.3419999999999992,1.0369999999999995,20,2,6,1,113,2,7,1,5,0.5,33,4.5,6,L,0.17760176991150442,0.2135,0.1917142857142857,1.0369999999999995
14,14,28,1,12,20.739999999999984,20,102,38,4,2,75,24.82699999999998,11.467999999999991,9.759999999999993,3.1719999999999975,20,17,16,13,120,45,40,15,5,0,20,5,6,L,0.20689166666666667,0.25484444444444443,0.244,0.21146666666666664
14,15,29,1,2,26.22999999999998,13,118,59,60,77,50,28.547999999999977,4.452999999999997,3.537999999999997,1.0979999999999994,20,14,9,6,132,21,9,6,4,0.5,27,3.75,6,L,0.21627272727272726,0.212047619047619,0.39311111111111097,0.183
14,15,30,1,12,22.935999999999982,19,114,37,46,45,48,24.39999999999998,1.0369999999999995,2.683999999999998,9.149999999999993,20,5,6,17,123,5,7,40,5,1,60,5,6,L,0.1983739837398374,0.20739999999999995,0.38342857142857134,0.22874999999999998
14,16,31,1,13,25.43699999999998,18,97,114,15,116,109,25.74199999999998,4.6969999999999965,1.646999999999999,2.683999999999998,20,12,8,8,99,17,11,10,2,0.5,18,3,6,L,0.260020202020202,0.2762941176470588,0.14972727272727274,0.26839999999999997
14,16,32,1,3,24.03399999999998,20,107,102,2,35,95,47.39699999999996,13.29799999999999,0.244,0.122,20,18,3,1,206,50,3,1,5,0,16,4,6,L,0.23008252427184464,0.26596,0.08133333333333333,0.122
15,1,1,0,5,14.334999999999988,17,74,64,102,100,72,35.867999999999974,1.3419999999999992,0.7929999999999997,1.646999999999999,20,5,6,9,174,6,7,10,5,0,12,3,6,L,0.20613793103448275,0.22366666666666662,0.11328571428571428,0.16469999999999999
15,1,2,0,3,18.787999999999986,20,111,4,26,85,50,33.244999999999976,0.122,1.2809999999999993,0.061,20,1,6,1,159,1,6,1,5,0,18,4.5,6,L,0.20908805031446545,0.122,0.21349999999999994,0.061
15,2,3,0,9,13.846999999999989,19,66,7,5,11,110,39.22299999999997,13.724999999999989,4.208999999999997,0.122,20,18,13,1,168,48,17,1,4,0.5,38,5,6,L,0.23347023809523806,0.28593749999999996,0.2475882352941176,0.122
